"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3";"";"10-XX";"B3F-10XX";"BTN0, BTN1, RESET";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"4";"";"DIODESMA";"SMA-DIODE";"D1, D2, D3, D4";"Diode";"";"";"";"";
"2";".01u";"CAP0603-CAP";"0603-CAP";"C45, C49";"Capacitor";"";"";"";"";
"2";".1u";"CAP1206";"1206";"C9, C11";"Capacitor";"";"";"";"";
"2";".22u";"CAP0603-CAP";"0603-CAP";"C20, C48";"Capacitor";"";"";"";"";
"8";"0.1u";"CAP0603-CAP";"0603-CAP";"C12, C15, C16, C21, C22, C29, C34, C38";"Capacitor";"";"";"";"";
"1";"1.21k";"RESISTOR0603-RES";"0603-RES";"R45";"Resistor";"";"";"";"";
"1";"10";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";"";"";
"2";"100";"RESISTOR0603-RES";"0603-RES";"R12, R13";"Resistor";"";"";"";"";
"3";"100k";"RESISTOR0603-RES";"0603-RES";"R2, R3, R34";"Resistor";"";"";"";"";
"4";"100n";"CAP0603-CAP";"0603-CAP";"C40, C41, C42, C43";"Capacitor";"";"";"";"";
"2";"100u";"CAP_POLD";"PANASONIC_D";"C8, C10";"Capacitor Polarized";"";"";"";"";
"1";"10K";"POT";"POT";"POT";"";"";"";"";"";
"12";"10k";"RESISTOR0603-RES";"0603-RES";"R7, R10, R11, R19, R26, R28, R31, R36, R39, R41, R42, R43";"Resistor";"";"";"";"";
"3";"10n";"CAP0603-CAP";"0603-CAP";"C30, C35, C47";"Capacitor";"";"";"";"";
"1";"10u";"CAP0603-CAP";"0603-CAP";"C25";"Capacitor";"";"";"";"";
"5";"10u";"CAP0805";"0805";"C1, C6, C23, C24, C33";"Capacitor";"";"";"";"";
"2";"10u";"CAP1206";"1206";"C26, C28";"Capacitor";"";"";"";"";
"4";"15";"RESISTOR0603-RES";"0603-RES";"R46, R47, R48, R49";"Resistor";"";"";"";"";
"2";"15V";"ZENER";"0603";"ZD1, ZD2";"http://www.comchiptech.com/cms/UserFiles/CZRU52C2%20THRU%20CZRU52C39-RevB.pdf";"";"";"";"";
"1";"18k";"RESISTOR0603-RES";"0603-RES";"R33";"Resistor";"";"";"";"";
"2";"1u";"CAP0603-CAP";"0603-CAP";"C32, C46";"Capacitor";"";"";"";"";
"2";"2.2u";"CAP0603-CAP";"0603-CAP";"C7, C37";"Capacitor";"";"";"";"";
"1";"2.7u";"INDUCTOR";"INDUCTOR";"L1";"";"";"";"";"";
"2";"20p";"CAP0603-CAP";"0603-CAP";"C2, C19";"Capacitor";"";"";"";"";
"4";"220";"RESISTOR0603-RES";"0603-RES";"R4, R20, R21, R35";"Resistor";"";"";"";"";
"1";"220u";"CAP_POLD";"PANASONIC_D";"C44";"Capacitor Polarized";"";"";"";"";
"4";"22u";"CAP0805";"0805";"C3, C4, C5, C36";"Capacitor";"";"";"";"";
"2";"22u";"CAP1206";"1206";"C27, C31";"Capacitor";"";"";"";"";
"4";"2POS_TERMINAL";"2POS_TERMINAL";"2POS_TERMINAL";"MOTOR0, MOTOR1, POWER, SERVO_PWR";"";"";"";"";"";
"3";"2k";"RESISTOR0603-RES";"0603-RES";"R37, R38, R44";"Resistor";"";"";"";"";
"2";"39k";"RESISTOR0603-RES";"0603-RES";"R27, R29";"Resistor";"";"";"";"";
"4";"4.7k";"RESISTOR0603-RES";"0603-RES";"R22, R23, R24, R25";"Resistor";"";"";"";"";
"1";"4.7u";"CAP0603-CAP";"0603-CAP";"C39";"Capacitor";"";"";"";"";
"4";"47p";"CAP0603-CAP";"0603-CAP";"C13, C14, C17, C18";"Capacitor";"";"";"";"";
"1";"8MHz";"CRYSTALSMD";"HC49UP";"Y2";"Crystals";"";"";"";"";
"3";"93.1k";"RESISTOR0603-RES";"0603-RES";"R18, R32, R40";"Resistor";"";"";"";"";
"1";"AGND";"M081X08";"1X08";"J8";"Header 8";"";"";"";"";
"1";"ANALOG";"M081X08";"1X08";"J10";"Header 8";"";"";"";"";
"1";"AP1084";"AP1084";"DPAK";"LD1085";"";"";"";"";"";
"1";"APWR";"M081X08";"1X08";"J9";"Header 8";"";"";"";"";
"1";"BC817";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q2";"Transistor NPN";"";"";"";"";
"1";"BUZZERPTH";"BUZZERPTH";"BUZZER-12MM";"SG1";"Buzzer 12mm";"";"";"";"";
"1";"Bluesmirf";"M06SIP";"1X06";"J6";"Header 6";"";"";"";"";
"1";"DGND";"M15";"1X15";"J11";"Header 15";"";"";"";"";
"1";"DIGITAL";"M15";"1X15";"J13";"Header 15";"";"";"";"";
"1";"DPWR";"M15";"1X15";"J12";"Header 15";"";"";"";"";
"1";"DPWR_SEL";"JUMPER-3PTH";"1X03";"JP2";"";"";"";"";"";
